ImageID,NAME_2,mean,start_dt
20181008T114525_20181014T133452,Greater London,5.165028183214099e-5,2018-10-08T11:45:25Z
20181009T112617_20181015T131558,Greater London,1.0871795663447683e-4,2018-10-09T11:26:17Z
20181010T110708_20181016T125518,Greater London,1.6664676235699988e-4,2018-10-10T11:57:53Z
20181011T104800_20181017T123307,Greater London,7.061626873917497e-5,2018-10-11T10:48:00Z
NA,NA,NA,2018-10-12T12:00:00Z
NA,NA,NA,2018-10-13T12:00:00Z
NA,NA,NA,2018-10-14T12:00:00Z
NA,NA,NA,2018-10-15T12:00:00Z
20181016T105347_20181022T125242,Greater London,8.708687422447254e-5,2018-10-16T11:44:31Z
NA,NA,NA,2018-10-17T12:00:00Z
20181018T101530_20181024T144742,Greater London,9.360741639378173e-5,2018-10-18T11:06:14Z
20181019T113751_20181025T133107,Greater London,1.7038159692757719e-4,2018-10-19T11:37:51Z
20181020T111842_20181026T132242,Greater London,1.8888996560686096e-4,2018-10-20T11:18:42Z
20181021T105934_20181027T130249,Greater London,1.3194224507810206e-4,2018-10-21T10:59:34Z
20181022T104026_20181028T130122,Greater London,1.2148867661635257e-4,2018-10-22T11:31:10Z
NA,NA,NA,2018-10-23T12:00:00Z
20181024T114339_20181030T133644,Greater London,1.2266863290275582e-4,2018-10-24T11:43:39Z
20181025T112430_20181031T132130,Greater London,1.4562593002727205e-4,2018-10-25T11:24:30Z
20181026T110522_20181101T130914,Greater London,8.195651628024246e-5,2018-10-26T11:56:07Z
20181027T104614_20181102T124623,Greater London,3.898673123068747e-5,2018-10-27T10:46:14Z
20181028T102706_20181103T122201,Greater London,3.900759966834712e-5,2018-10-28T11:17:51Z
20181029T114928_20181104T134446,Greater London,7.808331005866248e-5,2018-10-29T11:49:28Z
NA,NA,NA,2018-10-30T12:00:00Z
20181031T111112_20181106T131119,Greater London,9.302201285330709e-5,2018-10-31T12:01:56Z
NA,NA,NA,2018-11-01T12:00:00Z
20181102T103256_20181108T121843,Greater London,2.2942970881497873e-4,2018-11-02T11:23:41Z
20181103T115518_20181109T135651,Greater London,5.9352214244744135e-5,2018-11-03T11:55:18Z
20181104T113611_20181110T133430,Greater London,2.9547066322197073e-5,2018-11-04T11:36:11Z
NA,NA,NA,2018-11-05T12:00:00Z
NA,NA,NA,2018-11-06T12:00:00Z
20181107T122018_20181113T142244,Greater London,5.303656586931209e-5,2018-11-07T12:20:18Z
20181108T101941_20181114T122053,Greater London,5.9355702283068494e-5,2018-11-08T11:10:25Z
20181109T114203_20181115T134043,Greater London,6.58601929125141e-5,2018-11-09T11:42:03Z
20181110T112256_20181116T132551,Greater London,4.632156568073277e-5,2018-11-10T11:22:56Z
20181111T110349_20181117T131345,Greater London,6.178242749271588e-5,2018-11-11T11:03:49Z
20181112T104442_20181118T125720,Greater London,5.141089558446998e-5,2018-11-12T11:35:27Z
20181113T102535_20181119T123356,Greater London,9.898573716704427e-5,2018-11-13T11:16:20Z
20181114T114758_20181120T133914,Greater London,9.337021999822174e-5,2018-11-14T11:47:58Z
NA,NA,NA,2018-11-15T12:00:00Z
NA,NA,NA,2018-11-16T12:00:00Z
20181117T105039_20181123T125626,Greater London,2.31743858781287e-4,2018-11-17T11:41:23Z
20181118T103132_20181124T123849,Greater London,1.1783577048207473e-4,2018-11-18T10:31:32Z
20181119T115356_20181125T141022,Greater London,4.247765559473866e-5,2018-11-19T11:53:56Z
NA,NA,NA,2018-11-20T12:00:00Z
20181121T111543_20181127T131621,Greater London,1.223490763362354e-4,2018-11-21T11:15:43Z
NA,NA,NA,2018-11-22T12:00:00Z
NA,NA,NA,2018-11-23T12:00:00Z
NA,NA,NA,2018-11-24T12:00:00Z
NA,NA,NA,2018-11-25T12:00:00Z
20181126T112145_20181202T132018,Greater London,1.6353926713323286e-4,2018-11-26T11:21:45Z
NA,NA,NA,2018-11-27T12:00:00Z
NA,NA,NA,2018-11-28T12:00:00Z
NA,NA,NA,2018-11-29T12:00:00Z
20181130T114654_20181206T135246,Greater London,7.737888709002926e-5,2018-11-30T11:46:54Z
NA,NA,NA,2018-12-01T12:00:00Z
20181202T110845_20181208T131632,Greater London,6.978852966828107e-5,2018-12-02T11:08:45Z
20181203T104940_20181209T125111,Greater London,8.08756699876446e-5,2018-12-03T10:49:40Z
NA,NA,NA,2018-12-04T12:00:00Z
NA,NA,NA,2018-12-05T12:00:00Z
NA,NA,NA,2018-12-06T12:00:00Z
NA,NA,NA,2018-12-07T12:00:00Z
NA,NA,NA,2018-12-08T12:00:00Z
20181209T103646_20181217T105733,Greater London,2.8010896130581386e-5,2018-12-09T11:27:31Z
NA,NA,NA,2018-12-10T12:00:00Z
20181211T114009_20181217T192310,Greater London,1.8630457741435525e-4,2018-12-11T11:40:09Z
20181212T112106_20181218T141752,Greater London,1.2224885494544784e-4,2018-12-12T11:21:06Z
20181213T110202_20181219T143309,Greater London,1.5308233800387323e-4,2018-12-13T11:02:02Z
NA,NA,NA,2018-12-14T12:00:00Z
NA,NA,NA,2018-12-15T12:00:00Z
20181216T114624_20181222T134847,Greater London,3.664913310785778e-5,2018-12-16T11:46:24Z
20181217T112721_20181223T133807,Greater London,8.468780007603693e-5,2018-12-17T11:27:21Z
NA,NA,NA,2018-12-18T12:00:00Z
20181219T104916_20181225T131339,Greater London,4.2348992081151166e-5,2018-12-19T10:49:16Z
20181220T121144_20181226T140359,Greater London,2.0892574324748667e-5,2018-12-20T12:11:44Z
20181221T115242_20181227T135431,Greater London,5.028320447308943e-5,2018-12-21T11:52:42Z
20181222T113340_20181228T135158,Greater London,4.835845536679339e-5,2018-12-22T11:33:40Z
NA,NA,NA,2018-12-23T12:00:00Z
20181224T105537_20181230T125819,Greater London,8.299068371034479e-5,2018-12-24T10:55:37Z
NA,NA,NA,2018-12-25T12:00:00Z
NA,NA,NA,2018-12-26T12:00:00Z
20181227T114003_20190102T140322,Greater London,9.196385315474047e-5,2018-12-27T11:40:03Z
20181228T112102_20190103T134248,Greater London,5.320212851809379e-5,2018-12-28T11:21:02Z
NA,NA,NA,2018-12-29T12:00:00Z
NA,NA,NA,2018-12-30T12:00:00Z
NA,NA,NA,2018-12-31T12:00:00Z
NA,NA,NA,2019-01-01T12:00:00Z
NA,NA,NA,2019-01-02T12:00:00Z
NA,NA,NA,2019-01-03T12:00:00Z
20190104T104928_20190110T153458,Greater London,1.4001072727573734e-4,2019-01-04T10:49:28Z
NA,NA,NA,2019-01-05T12:00:00Z
NA,NA,NA,2019-01-06T12:00:00Z
NA,NA,NA,2019-01-07T12:00:00Z
20190108T111459_20190114T133207,Greater London,7.814230739811873e-5,2019-01-08T11:14:59Z
NA,NA,NA,2019-01-09T12:00:00Z
NA,NA,NA,2019-01-10T12:00:00Z
NA,NA,NA,2019-01-11T12:00:00Z
NA,NA,NA,2019-01-12T12:00:00Z
NA,NA,NA,2019-01-13T12:00:00Z
NA,NA,NA,2019-01-14T12:00:00Z
NA,NA,NA,2019-01-15T12:00:00Z
NA,NA,NA,2019-01-16T12:00:00Z
20190117T114708_20190123T140456,Greater London,1.2451207591061047e-4,2019-01-17T11:47:08Z
NA,NA,NA,2019-01-18T12:00:00Z
NA,NA,NA,2019-01-19T12:00:00Z
20190120T105013_20190126T125014,Greater London,1.5972311377532685e-4,2019-01-20T11:40:58Z
NA,NA,NA,2019-01-21T12:00:00Z
20190122T101217_20190128T122144,Greater London,1.0575988594909772e-4,2019-01-22T11:03:02Z
NA,NA,NA,2019-01-23T12:00:00Z
