ImageID,NAME_2,mean,start_dt
20181009T112617_20181015T131558,Paris,2.388005979539192e-4,2018-10-09T11:26:17Z
20181010T110708_20181016T125518,Paris,1.1859884255031441e-4,2018-10-10T11:57:53Z
20181011T104800_20181017T123307,Paris,7.76571975135153e-5,2018-10-11T10:48:00Z
NA,NA,NA,2018-10-12T12:00:00Z
NA,NA,NA,2018-10-13T12:00:00Z
NA,NA,NA,2018-10-14T12:00:00Z
NA,NA,NA,2018-10-15T12:00:00Z
20181016T105347_20181022T125242,Paris,2.0932400442797282e-4,2018-10-16T11:44:31Z
20181017T121608_20181024T141315,Paris,1.5901833979619875e-4,2018-10-17T12:16:08Z
20181018T101530_20181024T144742,Paris,1.929193577028619e-4,2018-10-18T11:06:14Z
20181019T113751_20181025T133107,Paris,1.6642365870276731e-4,2018-10-19T11:37:51Z
20181020T111842_20181026T132242,Paris,1.4045702958927846e-4,2018-10-20T11:18:42Z
20181021T105934_20181027T130249,Paris,2.3761737876129167e-4,2018-10-21T11:50:18Z
NA,NA,NA,2018-10-22T12:00:00Z
20181023T120247_20181029T135712,Paris,1.589779856825842e-4,2018-10-23T12:02:47Z
NA,NA,NA,2018-10-24T12:00:00Z
20181025T112430_20181031T132130,Paris,1.778303136399468e-4,2018-10-25T11:24:30Z
NA,NA,NA,2018-10-26T12:00:00Z
NA,NA,NA,2018-10-27T12:00:00Z
NA,NA,NA,2018-10-28T12:00:00Z
NA,NA,NA,2018-10-29T12:00:00Z
NA,NA,NA,2018-10-30T12:00:00Z
NA,NA,NA,2018-10-31T12:00:00Z
NA,NA,NA,2018-11-01T12:00:00Z
20181102T103256_20181108T121843,Paris,1.4309659919456587e-4,2018-11-02T11:23:41Z
NA,NA,NA,2018-11-03T12:00:00Z
20181104T113611_20181110T133430,Paris,6.353882840753585e-5,2018-11-04T11:36:11Z
20181105T111703_20181111T131817,Paris,1.2497141567048694e-4,2018-11-05T11:17:03Z
20181106T123925_20181112T145311,Paris,7.413650746457279e-5,2018-11-06T12:39:25Z
NA,NA,NA,2018-11-07T12:00:00Z
20181108T101941_20181114T122053,Paris,1.870900277889826e-4,2018-11-08T11:10:25Z
20181109T114203_20181115T134043,Paris,1.5108925126733954e-4,2018-11-09T11:42:03Z
NA,NA,NA,2018-11-10T12:00:00Z
NA,NA,NA,2018-11-11T12:00:00Z
NA,NA,NA,2018-11-12T12:00:00Z
20181113T102535_20181119T123356,Paris,8.030103897457533e-5,2018-11-13T11:16:20Z
20181114T114758_20181120T133914,Paris,1.896379982340969e-4,2018-11-14T11:47:58Z
NA,NA,NA,2018-11-15T12:00:00Z
NA,NA,NA,2018-11-16T12:00:00Z
20181117T105039_20181123T125626,Paris,1.600283928305113e-4,2018-11-17T11:41:23Z
20181118T103132_20181124T123849,Paris,1.052324546100389e-4,2018-11-18T11:22:17Z
NA,NA,NA,2018-11-19T12:00:00Z
NA,NA,NA,2018-11-20T12:00:00Z
