id,hour,name,unit,average,subtitle,parameter,displayName,parameterId,measurement_count
118366,2018-02-17 16:00:00,2294,µg/m³,50.7,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-02-17 17:00:00,2294,µg/m³,37.64,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-02-17 18:00:00,2294,µg/m³,25.83,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-02-17 19:00:00,2294,µg/m³,19.74,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-02-17 20:00:00,2294,µg/m³,18.22,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-02-17 21:00:00,2294,µg/m³,21.88,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-02-17 22:00:00,2294,µg/m³,24.59,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-02-17 23:00:00,2294,µg/m³,22.6,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-02-18 00:00:00,2294,µg/m³,16.71,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-02-18 01:00:00,2294,µg/m³,13.59,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-02-18 03:00:00,2294,µg/m³,10.42,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-02-18 04:00:00,2294,µg/m³,11.14,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-02-18 05:00:00,2294,µg/m³,10.2,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-02-18 06:00:00,2294,µg/m³,11.42,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-02-18 08:00:00,2294,µg/m³,9.81,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-02-18 10:00:00,2294,µg/m³,6.77,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-02-18 11:00:00,2294,µg/m³,6.47,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-02-18 12:00:00,2294,µg/m³,6.5,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-02-18 13:00:00,2294,µg/m³,12.89,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-02-18 14:00:00,2294,µg/m³,14.3,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-02-18 15:00:00,2294,µg/m³,9.18,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-02-18 16:00:00,2294,µg/m³,8.94,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-02-18 17:00:00,2294,µg/m³,11.79,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-02-18 18:00:00,2294,µg/m³,18.12,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-02-18 19:00:00,2294,µg/m³,37.81,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-02-18 20:00:00,2294,µg/m³,58.83,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-02-18 21:00:00,2294,µg/m³,16.9,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-02-18 22:00:00,2294,µg/m³,23.65,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-02-18 23:00:00,2294,µg/m³,31.25,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-02-19 00:00:00,2294,µg/m³,29.42,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-02-19 01:00:00,2294,µg/m³,32.07,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-02-19 02:00:00,2294,µg/m³,24.57,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-02-19 03:00:00,2294,µg/m³,21.26,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-02-19 04:00:00,2294,µg/m³,22.64,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-02-19 05:00:00,2294,µg/m³,24.23,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-02-19 06:00:00,2294,µg/m³,25.42,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-02-19 08:00:00,2294,µg/m³,20.6,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-02-19 09:00:00,2294,µg/m³,14.77,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-02-19 10:00:00,2294,µg/m³,11.4,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-02-19 11:00:00,2294,µg/m³,12.4,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-02-19 12:00:00,2294,µg/m³,18.56,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-02-19 14:00:00,2294,µg/m³,49.5,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-02-19 15:00:00,2294,µg/m³,68.64,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-02-19 16:00:00,2294,µg/m³,69.24,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-02-19 17:00:00,2294,µg/m³,58.96,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-02-19 19:00:00,2294,µg/m³,24.42,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-02-19 20:00:00,2294,µg/m³,27.02,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-02-19 21:00:00,2294,µg/m³,27.3,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-02-19 22:00:00,2294,µg/m³,29.97,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-02-19 23:00:00,2294,µg/m³,27.77,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-02-20 00:00:00,2294,µg/m³,25.93,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-02-20 02:00:00,2294,µg/m³,15.42,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-02-20 06:00:00,2294,µg/m³,15.57,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-02-20 08:00:00,2294,µg/m³,17.45,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-02-20 09:00:00,2294,µg/m³,18.52,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-02-20 10:00:00,2294,µg/m³,16.07,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-02-20 11:00:00,2294,µg/m³,14.43,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-02-20 12:00:00,2294,µg/m³,29.97,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-02-20 13:00:00,2294,µg/m³,40.74,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-02-20 15:00:00,2294,µg/m³,61.49,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-02-20 16:00:00,2294,µg/m³,62.51,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-02-20 18:00:00,2294,µg/m³,18.14,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-02-20 19:00:00,2294,µg/m³,19.06,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-02-20 20:00:00,2294,µg/m³,20.49,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-02-20 21:00:00,2294,µg/m³,16.58,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-02-20 22:00:00,2294,µg/m³,26.62,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-02-20 23:00:00,2294,µg/m³,33.73,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-02-21 01:00:00,2294,µg/m³,21.83,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-02-21 04:00:00,2294,µg/m³,16.56,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-02-21 05:00:00,2294,µg/m³,14.46,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-02-21 06:00:00,2294,µg/m³,14.83,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-02-21 11:00:00,2294,µg/m³,12.22,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-02-21 12:00:00,2294,µg/m³,26.83,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-02-21 13:00:00,2294,µg/m³,43.8,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-02-22 06:00:00,2294,µg/m³,43.52,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-02-22 07:00:00,2294,µg/m³,12.9,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-02-22 08:00:00,2294,µg/m³,11.39,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-02-23 05:00:00,2294,µg/m³,14.33,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-02-23 06:00:00,2294,µg/m³,34.05,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-02-24 05:00:00,2294,µg/m³,13.36,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-02-24 06:00:00,2294,µg/m³,35.66,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-02-24 07:00:00,2294,µg/m³,15.89,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-02-24 08:00:00,2294,µg/m³,15.13,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-02-25 05:00:00,2294,µg/m³,11.81,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-01 07:00:00,2294,µg/m³,13.71,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-01 08:00:00,2294,µg/m³,13.93,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-02 15:00:00,2294,µg/m³,72.59,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-02 16:00:00,2294,µg/m³,51.42,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-02 17:00:00,2294,µg/m³,37,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-02 18:00:00,2294,µg/m³,32.26,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-02 21:00:00,2294,µg/m³,25.49,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-02 22:00:00,2294,µg/m³,30.63,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-02 23:00:00,2294,µg/m³,24.76,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-03 00:00:00,2294,µg/m³,23.24,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-03 02:00:00,2294,µg/m³,17.78,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-03 03:00:00,2294,µg/m³,15.47,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-03 04:00:00,2294,µg/m³,14.72,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-03 05:00:00,2294,µg/m³,14.14,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-03 09:00:00,2294,µg/m³,14.79,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-03 10:00:00,2294,µg/m³,13.84,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-03 11:00:00,2294,µg/m³,10.12,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-03 12:00:00,2294,µg/m³,24.5,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-03 18:00:00,2294,µg/m³,21.92,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-03 22:00:00,2294,µg/m³,24.63,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-03 23:00:00,2294,µg/m³,19.98,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-04 00:00:00,2294,µg/m³,18.95,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-04 01:00:00,2294,µg/m³,20.23,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-04 11:00:00,2294,µg/m³,15.94,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-04 12:00:00,2294,µg/m³,17.54,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-04 15:00:00,2294,µg/m³,22.05,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-04 16:00:00,2294,µg/m³,14.82,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-04 17:00:00,2294,µg/m³,16.51,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-04 19:00:00,2294,µg/m³,12.14,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-04 22:00:00,2294,µg/m³,0,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-04 23:00:00,2294,µg/m³,18.52,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-05 00:00:00,2294,µg/m³,21.41,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-05 01:00:00,2294,µg/m³,21.17,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-05 02:00:00,2294,µg/m³,21.21,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-05 03:00:00,2294,µg/m³,20.79,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-05 04:00:00,2294,µg/m³,20.57,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-05 05:00:00,2294,µg/m³,20,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-05 06:00:00,2294,µg/m³,19.06,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-05 07:00:00,2294,µg/m³,14.77,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-05 08:00:00,2294,µg/m³,16.98,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-05 09:00:00,2294,µg/m³,17.3,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-05 10:00:00,2294,µg/m³,16.3,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-05 12:00:00,2294,µg/m³,17.26,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-05 13:00:00,2294,µg/m³,20.34,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-05 14:00:00,2294,µg/m³,30.16,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-06 12:00:00,2294,µg/m³,22.17,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-06 13:00:00,2294,µg/m³,38.35,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-06 15:00:00,2294,µg/m³,36.27,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-06 17:00:00,2294,µg/m³,17.41,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-06 18:00:00,2294,µg/m³,16.26,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-06 19:00:00,2294,µg/m³,20.7,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-07 00:00:00,2294,µg/m³,28.12,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-07 02:00:00,2294,µg/m³,24.57,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-07 03:00:00,2294,µg/m³,22.86,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-07 04:00:00,2294,µg/m³,23.26,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-07 05:00:00,2294,µg/m³,22.41,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-07 06:00:00,2294,µg/m³,22.58,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-07 07:00:00,2294,µg/m³,21.56,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-07 08:00:00,2294,µg/m³,17.8,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-07 09:00:00,2294,µg/m³,18.39,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-07 10:00:00,2294,µg/m³,22.24,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-07 11:00:00,2294,µg/m³,18.33,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-07 13:00:00,2294,µg/m³,42.3,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-07 14:00:00,2294,µg/m³,46.45,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-07 15:00:00,2294,µg/m³,40.85,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-07 16:00:00,2294,µg/m³,37.51,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-07 17:00:00,2294,µg/m³,31.26,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-07 18:00:00,2294,µg/m³,32.67,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-07 20:00:00,2294,µg/m³,28.95,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-07 23:00:00,2294,µg/m³,25.06,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-08 03:00:00,2294,µg/m³,19.42,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-08 04:00:00,2294,µg/m³,21.11,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-08 05:00:00,2294,µg/m³,21.11,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-08 06:00:00,2294,µg/m³,20.49,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-08 07:00:00,2294,µg/m³,19.21,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-08 08:00:00,2294,µg/m³,18.2,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-08 09:00:00,2294,µg/m³,15.85,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-08 10:00:00,2294,µg/m³,19.33,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-08 11:00:00,2294,µg/m³,18.63,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-08 12:00:00,2294,µg/m³,27.64,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-08 13:00:00,2294,µg/m³,30.72,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-08 14:00:00,2294,µg/m³,28.11,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-08 15:00:00,2294,µg/m³,23.2,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-08 16:00:00,2294,µg/m³,21.71,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-08 17:00:00,2294,µg/m³,18.54,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-08 18:00:00,2294,µg/m³,13.26,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-08 20:00:00,2294,µg/m³,9.92,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-08 22:00:00,2294,µg/m³,20.74,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-08 23:00:00,2294,µg/m³,30.31,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-09 00:00:00,2294,µg/m³,31.6,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-09 02:00:00,2294,µg/m³,21.21,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-09 03:00:00,2294,µg/m³,21.81,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-09 05:00:00,2294,µg/m³,22.43,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-09 06:00:00,2294,µg/m³,21.07,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-09 07:00:00,2294,µg/m³,21.94,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-09 09:00:00,2294,µg/m³,21.54,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-09 10:00:00,2294,µg/m³,31.04,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-09 11:00:00,2294,µg/m³,18.44,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-09 13:00:00,2294,µg/m³,54.07,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-09 14:00:00,2294,µg/m³,72.93,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-09 15:00:00,2294,µg/m³,57.85,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-09 16:00:00,2294,µg/m³,24.68,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-09 17:00:00,2294,µg/m³,21.28,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-09 18:00:00,2294,µg/m³,25.64,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-09 19:00:00,2294,µg/m³,20.29,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-09 21:00:00,2294,µg/m³,37.79,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-09 22:00:00,2294,µg/m³,34.12,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-09 23:00:00,2294,µg/m³,34.05,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-10 00:00:00,2294,µg/m³,20.83,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-10 01:00:00,2294,µg/m³,19.14,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-10 03:00:00,2294,µg/m³,17.35,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-10 04:00:00,2294,µg/m³,16.22,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-10 05:00:00,2294,µg/m³,15.34,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-10 06:00:00,2294,µg/m³,15.27,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-10 07:00:00,2294,µg/m³,14.1,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-10 08:00:00,2294,µg/m³,15.13,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-10 09:00:00,2294,µg/m³,16,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-03-10 10:00:00,2294,µg/m³,16.71,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-04-10 20:00:00,2294,µg/m³,0,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-04-10 21:00:00,2294,µg/m³,18.56,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-04-10 22:00:00,2294,µg/m³,44.97,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-04-10 23:00:00,2294,µg/m³,43.3,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-04-11 00:00:00,2294,µg/m³,40.68,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-04-11 01:00:00,2294,µg/m³,36.27,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-04-11 02:00:00,2294,µg/m³,34.08,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-04-11 03:00:00,2294,µg/m³,31.43,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-04-11 04:00:00,2294,µg/m³,32.17,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-04-11 05:00:00,2294,µg/m³,25.62,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-04-11 06:00:00,2294,µg/m³,25.68,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-04-11 08:00:00,2294,µg/m³,25.93,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-04-11 09:00:00,2294,µg/m³,22.45,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-04-11 10:00:00,2294,µg/m³,20.12,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-04-11 11:00:00,2294,µg/m³,17.65,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-04-11 12:00:00,2294,µg/m³,29.69,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-04-11 15:00:00,2294,µg/m³,34.18,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-04-11 16:00:00,2294,µg/m³,32.22,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-04-11 18:00:00,2294,µg/m³,30.16,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-04-11 19:00:00,2294,µg/m³,29.82,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-04-11 20:00:00,2294,µg/m³,25.87,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-04-11 21:00:00,2294,µg/m³,26.56,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-04-11 22:00:00,2294,µg/m³,35.29,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-04-11 23:00:00,2294,µg/m³,41.96,Puente Piedra,no2,NO₂ mass,5,1
118366,2018-04-12 00:00:00,2294,µg/m³,43.22,Puente Piedra,no2,NO₂ mass,5,1
